timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1740056902787,754,HTTP Request,200,OK,Thread Group 1-87,text,true,,3083,145,17,17,https://the-internet.herokuapp.com/status_codes/200,753,0,557
1740056902837,749,HTTP Request,200,OK,Thread Group 1-88,text,true,,3083,145,16,16,https://the-internet.herokuapp.com/status_codes/200,749,0,560
1740056902887,740,HTTP Request,200,OK,Thread Group 1-89,text,true,,3083,145,15,15,https://the-internet.herokuapp.com/status_codes/200,740,0,556
1740056902937,744,HTTP Request,200,OK,Thread Group 1-90,text,true,,3083,145,14,14,https://the-internet.herokuapp.com/status_codes/200,744,0,557
1740056902986,761,HTTP Request,200,OK,Thread Group 1-91,text,true,,3083,145,13,13,https://the-internet.herokuapp.com/status_codes/200,761,0,571
1740056903037,739,HTTP Request,200,OK,Thread Group 1-92,text,true,,3083,145,12,12,https://the-internet.herokuapp.com/status_codes/200,739,0,553
1740056903087,751,HTTP Request,200,OK,Thread Group 1-93,text,true,,3083,145,11,11,https://the-internet.herokuapp.com/status_codes/200,751,0,560
1740056903136,781,HTTP Request,200,OK,Thread Group 1-94,text,true,,3083,145,10,10,https://the-internet.herokuapp.com/status_codes/200,781,0,588
1740056903185,751,HTTP Request,200,OK,Thread Group 1-95,text,true,,3083,145,9,9,https://the-internet.herokuapp.com/status_codes/200,751,0,556
1740056902185,1792,HTTP Request,200,OK,Thread Group 1-75,text,true,,3083,145,8,8,https://the-internet.herokuapp.com/status_codes/200,1792,0,1596
1740056903235,744,HTTP Request,200,OK,Thread Group 1-96,text,true,,3083,145,7,7,https://the-internet.herokuapp.com/status_codes/200,744,0,557
1740056903287,745,HTTP Request,200,OK,Thread Group 1-97,text,true,,3083,145,6,6,https://the-internet.herokuapp.com/status_codes/200,745,0,562
1740056903335,774,HTTP Request,200,OK,Thread Group 1-98,text,true,,3083,145,5,5,https://the-internet.herokuapp.com/status_codes/200,774,0,576
1740056903399,772,HTTP Request,200,OK,Thread Group 1-99,text,true,,3083,145,4,4,https://the-internet.herokuapp.com/status_codes/200,772,0,578
1740056903446,742,HTTP Request,200,OK,Thread Group 1-100,text,true,,3083,145,3,3,https://the-internet.herokuapp.com/status_codes/200,741,0,551
1740056902134,2178,HTTP Request,200,OK,Thread Group 1-74,text,true,,3079,145,2,2,https://the-internet.herokuapp.com/status_codes/200,2178,0,1983
1740056902587,1787,HTTP Request,200,OK,Thread Group 1-83,text,true,,3079,145,1,1,https://the-internet.herokuapp.com/status_codes/200,1787,0,1592
